Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Samsung SGH-,5,0,1996,1,124,48,25,179,1,-,-,3,12,-,-,-,-,0,-,-,0,-,-,0,No,0,-,-,-,-
Sony CM-DX,5,0,1997,1,150,45,32,235,1,-,-,4,16,-,-,-,-,0,-,-,0,-,1350,0,No,0,-,-,-,-
Sony CMD Z,5,0,1997,1,99,64,24,220,1,-,-,97,32,-,-,-,-,0,-,-,0,-,730,0,No,0,-,-,-,-
Sony CMD Z,5,0,1997,1,98,60,26,195,1,-,-,97,32,-,-,-,-,0,-,-,0,-,600,0,No,0,-,-,-,-
Sony CM-DX,5,0,1997,1,147,46,27,185,1,-,-,97,33,-,-,-,-,0,-,-,0,-,1800,0,No,0,-,-,-,-
Motorola StarTAC Rainbow,5,0,1997,1,98,57,23,112,1,-,-,2,12,-,-,-,-,0,-,-,0,-,500,0,No,0,-,-,-,-
Motorola StarTAC,5,0,1997,1,98,57,23,112,1,-,-,4,15,-,-,-,-,0,-,-,0,-,500,0,No,0,-,-,-,-
Motorola StarTAC,5,0,1997,1,98,57,23,112,1,-,-,2,12,-,-,-,-,0,-,-,0,-,500,0,No,0,-,-,-,-
Motorola StarTAC,5,0,1998,1,94,55,19,95,1,-,-,4,15,-,-,-,-,0,-,-,0,-,500,0,No,0,-,-,-,-
Motorola cd,5,0,1998,1,129,55,27,120,1,-,-,96,32,-,-,-,-,0,-,-,0,-,1000,0,No,0,-,-,-,-
Motorola d,5,0,1998,1,140,50,27,170,1,-,-,2,12,-,-,-,-,0,-,-,0,-,650,0,No,0,-,-,-,-
Motorola cd,5,0,1998,1,129,55,27,120,1,-,-,96,32,-,-,-,-,0,-,-,0,-,1000,0,No,0,-,-,-,-
Sony CMD C,5,0,1999,1,139,45,26,107,1,-,-,97,32,-,-,-,-,0,-,-,0,-,500,0,No,0,-,-,-,-
Motorola M,5,0,1999,1,140,50,25,170,1,-,-,96,32,-,-,-,-,0,-,-,0,-,700,0,No,0,-,-,-,-
Samsung A,5,0,2000,1,80,42,22.9,87,1,-,-,115,60,-,-,-,-,0,-,-,0,-,-,0,No,0,-,-,-,-
